name,mean,std
Josh Freeman,48.994999999999997,27.062535395522307
Ryan Tannehill,51.506382978723408,26.555924617397928
Peyton Manning,75.670866141732319,20.87503677493649
Chad Henne,41.696428571428569,25.506719002759148
Kyle Orton,49.646268656716423,25.666853570894915
Blake Bortles,28.999999999999996,21.663333076883632
Cam Newton,55.861290322580629,27.757003870762865
Josh McCown,48.934615384615391,30.948614732264719
Ben Roethlisberger,59.415037593984962,27.007629382915873
Teddy Bridgewater,53.992307692307683,27.457223140079257
Mike Glennon,49.457894736842093,23.689057853538735
Derek Anderson,41.158823529411762,30.091408584315808
Robert Griffin,50.200000000000003,28.377103446264559
David Garrard,54.820588235294117,28.911215397631008
Philip Rivers,61.119580419580423,28.804149883774315
Geno Smith,40.184615384615384,30.770605353911286
Alex Smith,45.70918367346939,26.809692380038747
Donovan McNabb,52.982191780821921,27.33845654459094
Matt Schaub,58.984269662921371,25.854588562663938
Vince Young,51.899999999999999,31.648127906718269
Jake Locker,52.286956521739128,28.087821760067069
Mark Sanchez,43.778571428571439,28.829377593391776
Colin Kaepernick,60.954999999999998,28.75028606323681
Aaron Rodgers,70.324038461538464,25.008447097949357
Matthew Stafford,52.448051948051955,26.349491208458506
Andrew Luck,59.547916666666659,24.508921428939516
Michael Vick,53.520000000000003,29.667375221653352
Jay Cutler,54.48205128205128,27.695476461791092
Nick Foles,58.455999999999996,28.55580909960938
Matt Hasselbeck,46.292941176470599,27.887609418945189
Jason Campbell,45.485000000000021,26.504397055793163
Brian Hoyer,47.625000000000007,26.008214795370037
Matt Cassel,45.166666666666671,26.920315382284965
Matt Ryan,64.81851851851853,25.21742517316428
Tom Brady,69.655468749999997,22.528969307233311
Carson Palmer,52.2725663716814,26.575173859757882
Brett Favre,52.07837837837836,30.445398105912073
EJ Manuel,42.557142857142857,26.688998433111671
Eli Manning,54.859440559440564,27.541490436421018
Derek Carr,38.224999999999994,23.072451105160042
Tony Romo,62.442622950819683,27.662344002414102
Andy Dalton,51.651562500000011,26.701792295753357
Ryan Fitzpatrick,46.140697674418604,24.744132413953999
Russell Wilson,59.756249999999987,26.601223026194916
Joe Flacco,54.447747747747762,27.86179478277748
Drew Brees,66.161971830985891,24.293865006115769
